voyage_id,fixture_display_order,commission_type,org_group,org_name,external_id,rate
1E418B9D3DEAB7C4CFFA858581C852DF,1,Charterer,ST,ST Shipping & Transport Pte Ltd,10203,2.5
1E418B9D3DEAB7C4CFFA858581C852DF,1,Broker,Braemar,Braemar ACM Shipbroking Ltd,103663,1.25
1E418B9D3DEAB7C4CFFA858581C852DF,1,Agent,,,,0.0
1E418B9D3DEAB7C4CFFA858581C852DF,1,Co Broker,,,,0.0
B366A5BAD96F234CFB2FDD2B1FDF930E,1,Charterer,New Britain ,New Britain Palm Oil Limited,10022,0.0
B366A5BAD96F234CFB2FDD2B1FDF930E,1,Broker,,,,0.0
B366A5BAD96F234CFB2FDD2B1FDF930E,1,Agent,Stena Bulk,,,2.0
B366A5BAD96F234CFB2FDD2B1FDF930E,1,Co Broker,,,,0.0
215CD18F42853B4467F68D337F2818B3,1,Charterer,Bunge,Bunge SA,10179,2.5
215CD18F42853B4467F68D337F2818B3,1,Broker,Clarkson,,,1.25
215CD18F42853B4467F68D337F2818B3,1,Agent,Stena Bulk,,,2.0
215CD18F42853B4467F68D337F2818B3,1,Co Broker,,,,0.0
4691DC7C2D72947D7807CFA6A17F9723,1,Charterer,Hyundai Oil,"Hyundai Oil Bank Co., Ltd",10310,1.25
4691DC7C2D72947D7807CFA6A17F9723,1,Broker,Clarkson,Clarkson Shipping Service USA Inc,103582,1.25
4691DC7C2D72947D7807CFA6A17F9723,1,Agent,,,,0.0
4691DC7C2D72947D7807CFA6A17F9723,1,Co Broker,,,,1.25
814A361E6F64082102A4E4457BCE0990,1,Charterer,CHEVRON,Chevron International Tankship Limited,10109,2.5
814A361E6F64082102A4E4457BCE0990,1,Broker,AFFINITY,Affinity Tankers Ltd,50010,1.25
814A361E6F64082102A4E4457BCE0990,1,Agent,Stena Bulk,,,1.0
814A361E6F64082102A4E4457BCE0990,1,Co Broker,,,,0.0
587EC36B6B0EDEB82B9A867E89E3945E,1,Charterer,CHEVRON,Chevron International Tankship Limited,10109,2.5
587EC36B6B0EDEB82B9A867E89E3945E,1,Broker,AFFINITY,Affinity Tankers Ltd,50010,1.25
587EC36B6B0EDEB82B9A867E89E3945E,1,Agent,Stena Bulk,,,2.0
587EC36B6B0EDEB82B9A867E89E3945E,1,Co Broker,,,,0.0
34AB7571603DD7E5CD555D77EBB783D8,1,Charterer,TRAFIGURA,Trafigura Maritime Logistics Pte Ltd,10128,2.5
34AB7571603DD7E5CD555D77EBB783D8,1,Broker,Clarkson,Clarksons Platou Shipbroking (Switzerland) SA,105056,1.25
34AB7571603DD7E5CD555D77EBB783D8,1,Agent,Stena Bulk,,,2.0
34AB7571603DD7E5CD555D77EBB783D8,1,Co Broker,,,,0.0
9F520A46D4942076E6F77A3235FB8B62,1,Charterer,TRAFIGURA,Trafigura Trading LLC,10074,2.5
9F520A46D4942076E6F77A3235FB8B62,1,Broker,AFFINITY,Affinity Tankers Ltd,50010,1.25
9F520A46D4942076E6F77A3235FB8B62,1,Agent,Stena Bulk,,,2.0
9F520A46D4942076E6F77A3235FB8B62,1,Co Broker,,,,0.0
71580E995ABA6CFDB123EA5C7ABE5C31,1,Charterer,TRAFIGURA,Trafigura Trading LLC,10074,2.5
71580E995ABA6CFDB123EA5C7ABE5C31,1,Broker,BRS,BRS USA LLC,50153,1.25
71580E995ABA6CFDB123EA5C7ABE5C31,1,Agent,Stena Bulk,,,2.0
71580E995ABA6CFDB123EA5C7ABE5C31,1,Co Broker,,,,0.0
36A4E7BBC07F80761D4F66A3284D195F,1,Charterer,Proman Group,Proman Shipping AG,10259,0.0
36A4E7BBC07F80761D4F66A3284D195F,1,Broker,Eastport Cha,Eastport Maritime USA LLC,51536,2.5
36A4E7BBC07F80761D4F66A3284D195F,1,Agent,Stena Bulk,,,2.0
36A4E7BBC07F80761D4F66A3284D195F,1,Co Broker,,,,0.0
2297083F1EC5A7847224908339D16457,1,Charterer,TRAFIGURA,,,2.5
2297083F1EC5A7847224908339D16457,1,Broker,Howe Robinso,,,1.25
2297083F1EC5A7847224908339D16457,1,Agent,Stena Bulk,,,2.0
2297083F1EC5A7847224908339D16457,1,Co Broker,,,,0.0
589FA7F1B5E45250F90544A30E81724C,1,Charterer,Coral Energy,Coral Energy Pte Ltd,10160,2.5
589FA7F1B5E45250F90544A30E81724C,1,Broker,SSY,Simpson Spence Young,52297,1.25
589FA7F1B5E45250F90544A30E81724C,1,Agent,,,,0.0
589FA7F1B5E45250F90544A30E81724C,1,Co Broker,,,,0.0
CA2245058B2A5EC26FF133DA70DC6E33,1,Charterer,REPSOL,,,2.5
CA2245058B2A5EC26FF133DA70DC6E33,1,Broker,SSY,,,1.25
CA2245058B2A5EC26FF133DA70DC6E33,1,Agent,Stena Bulk,,,2.0
CA2245058B2A5EC26FF133DA70DC6E33,1,Co Broker,,,,0.0
C4405B217F01BDB31244C86314B459A9,1,Charterer,SHELL,Shell International Trading and Shipping Company Limited,1609,2.5
C4405B217F01BDB31244C86314B459A9,1,Broker,Clarkson,CLARKSONS PLATOU AS,52198,1.25
C4405B217F01BDB31244C86314B459A9,1,Agent,Stena Bulk,,,2.0
C4405B217F01BDB31244C86314B459A9,1,Co Broker,,,,0.0
8CE7F8C895388C23967E15F3635DBAD8,1,Charterer,REPSOL,,,1.25
8CE7F8C895388C23967E15F3635DBAD8,1,Broker,McQuilling,McQuilling Partners Inc.,103602,1.25
8CE7F8C895388C23967E15F3635DBAD8,1,Agent,,,,0.0
8CE7F8C895388C23967E15F3635DBAD8,1,Co Broker,,,,0.0
A2D45F2F8E07A0E4D584C40A9F063A73,1,Charterer,SHELL,Shell International Trading and Shipping Company Limited,1609,1.25
A2D45F2F8E07A0E4D584C40A9F063A73,1,Broker,Charles R We,"CHARLES R. WEBER COMPANY,INC",101213,1.25
A2D45F2F8E07A0E4D584C40A9F063A73,1,Agent,,,,0.0
A2D45F2F8E07A0E4D584C40A9F063A73,1,Co Broker,SHELL,Shell COA,51515,1.75
144E60DD0F7EAE18343F1B3048C43600,1,Charterer,PMI,PMI Trading DAC,10193,0.0
144E60DD0F7EAE18343F1B3048C43600,1,Broker,Charles R We,"CHARLES R. WEBER COMPANY,INC",101213,1.25
144E60DD0F7EAE18343F1B3048C43600,1,Agent,Stena Bulk,,,2.0
144E60DD0F7EAE18343F1B3048C43600,1,Co Broker,,,,0.0
E1C7499496D8D8B3B290A3599E1FE2AD,1,Charterer,SHELL,Shell International Trading and Shipping Company Limited,1609,1.25
E1C7499496D8D8B3B290A3599E1FE2AD,1,Broker,Charles R We,"CHARLES R. WEBER COMPANY,INC",101213,1.25
E1C7499496D8D8B3B290A3599E1FE2AD,1,Agent,,,,0.0
E1C7499496D8D8B3B290A3599E1FE2AD,1,Co Broker,SHELL,Shell COA,51515,0.0
2C2FAF0531939CCCF455FE6892094B88,1,Charterer,PMI,PMI Trading DAC,10193,0.0
2C2FAF0531939CCCF455FE6892094B88,1,Broker,Dietze,"Dietze Products, LLC",50084,1.25
2C2FAF0531939CCCF455FE6892094B88,1,Agent,Stena Bulk,,,2.0
2C2FAF0531939CCCF455FE6892094B88,1,Co Broker,,,,0.0
6EAD201794202713C9A8C48FD7648442,1,Charterer,TRAFIGURA,Trafigura Trading LLC,10074,2.5
6EAD201794202713C9A8C48FD7648442,1,Broker,Southport Ma,Southport Maritime Inc,103581,1.25
6EAD201794202713C9A8C48FD7648442,1,Agent,Stena Bulk,,,2.0
6EAD201794202713C9A8C48FD7648442,1,Co Broker,,,,0.0
778319AADA94E94E0ECAA23DD64380AD,1,Charterer,ST,ST Shipping & Transport Pte Ltd,10203,2.5
778319AADA94E94E0ECAA23DD64380AD,1,Broker,Ocean Shipbr,Ocean Shipbrokers Ltd,103512,1.25
778319AADA94E94E0ECAA23DD64380AD,1,Agent,,,,0.0
778319AADA94E94E0ECAA23DD64380AD,1,Co Broker,,,,0.0
63E20B13FC206771CCE1EFE1C69F791A,1,Charterer,Antilles Shi,Antilles Shipping Company SEZC,10371,1.25
63E20B13FC206771CCE1EFE1C69F791A,1,Broker,Southport Ma,Southport Maritime Inc,103581,1.25
63E20B13FC206771CCE1EFE1C69F791A,1,Agent,Stena Bulk,,,2.0
63E20B13FC206771CCE1EFE1C69F791A,1,Co Broker,,,,0.0
31FB8EB60A97A28B5691F6DFD277E663,1,Charterer,Petrochina G,"PetroChina International (Hong Kong), Corp. LTD.",10148,2.5
31FB8EB60A97A28B5691F6DFD277E663,1,Broker,Howe Robinso,Howe Robinson,50118,1.25
31FB8EB60A97A28B5691F6DFD277E663,1,Agent,,,,0.0
31FB8EB60A97A28B5691F6DFD277E663,1,Co Broker,,,,0.0
B6FC1EB1415A5977E8A0539EA6EDCE2C,1,Charterer,MERCURIA,Mercuria Energy Trading SA,10053,2.5
B6FC1EB1415A5977E8A0539EA6EDCE2C,1,Broker,Gulfstream,Gulfstream Tanker Chartering SA (Geneva),50136,1.25
B6FC1EB1415A5977E8A0539EA6EDCE2C,1,Agent,,,,0.0
B6FC1EB1415A5977E8A0539EA6EDCE2C,1,Co Broker,,,,0.0
85755803907BC4DC3AF4A358CC255FB2,1,Charterer,CHEVRON,Chevron International Tankship Limited,10109,2.5
85755803907BC4DC3AF4A358CC255FB2,1,Broker,AFFINITY,Affinity Tankers Ltd,50010,1.25
85755803907BC4DC3AF4A358CC255FB2,1,Agent,Stena Bulk,,,1.0
85755803907BC4DC3AF4A358CC255FB2,1,Co Broker,,,,0.0
A32D72FE477DF8D77EF06D6E783ECDCD,1,Charterer,ENI,ENI TRADE & BIOFUELS SPA,10329,1.25
A32D72FE477DF8D77EF06D6E783ECDCD,1,Broker,Shipping 360,Shipping 360 Ltd,52065,1.25
A32D72FE477DF8D77EF06D6E783ECDCD,1,Agent,Stena Bulk,,,2.0
A32D72FE477DF8D77EF06D6E783ECDCD,1,Co Broker,,,,0.0
D68C5D97C4393EA91097461A1D43E1D3,1,Charterer,VITOL,Vitol SA,10151,1.25
D68C5D97C4393EA91097461A1D43E1D3,1,Broker,SERNAVIMAR S,Sernavimar SRL,51520,1.25
D68C5D97C4393EA91097461A1D43E1D3,1,Agent,,,,0.0
D68C5D97C4393EA91097461A1D43E1D3,1,Co Broker,,,,0.0
357FADABD94E699811A9C695CDF177DA,1,Charterer,Glencore,Viterra B.V.,10339,1.25
357FADABD94E699811A9C695CDF177DA,1,Broker,RVB Shipbrok,RVB Shipbrokers Singapore Pte Ltd,50075,1.25
357FADABD94E699811A9C695CDF177DA,1,Agent,Stena Bulk,,,2.0
357FADABD94E699811A9C695CDF177DA,1,Co Broker,,,,0.0
F48EE7F56B8D58444254678CE3DC047E,1,Charterer,Oceanic Mari,Oceanic Marine Transport Ltd,10123,1.25
F48EE7F56B8D58444254678CE3DC047E,1,Broker,Poten & Part,"Poten & Partners, Inc",50101,1.25
F48EE7F56B8D58444254678CE3DC047E,1,Agent,,,,0.0
F48EE7F56B8D58444254678CE3DC047E,1,Co Broker,,,,0.0
ECEAA6601C9BB195CB5FC2E985516427,1,Charterer,TRAFIGURA,Trafigura Maritime Logistics Pte Ltd,10128,2.5
ECEAA6601C9BB195CB5FC2E985516427,1,Broker,Galbraiths,Galbraiths LTD,,1.25
ECEAA6601C9BB195CB5FC2E985516427,1,Agent,Stena Bulk,,,2.0
ECEAA6601C9BB195CB5FC2E985516427,1,Co Broker,,,,0.0
067E05FA0E2E12828B67FF18DC808404,1,Charterer,VALERO,Valero Marketing & Supply Company,10078,2.5
067E05FA0E2E12828B67FF18DC808404,1,Broker,Dietze,"Dietze Products, LLC",50084,1.25
067E05FA0E2E12828B67FF18DC808404,1,Agent,Stena Bulk,,,2.0
067E05FA0E2E12828B67FF18DC808404,1,Co Broker,,,,0.0
2DA0080E56ACACE72C0FC03F4C81C08F,1,Charterer,Pentacontine,Pentacontinent DMCC,10394,2.5
2DA0080E56ACACE72C0FC03F4C81C08F,1,Broker,Gulfstream,Gulfstream Tanker Chartering SA (Geneva),50136,1.25
2DA0080E56ACACE72C0FC03F4C81C08F,1,Agent,,,,0.0
2DA0080E56ACACE72C0FC03F4C81C08F,1,Co Broker,,,,0.0
F055BACF33073FC6CC15232B25B46BCA,1,Charterer,TRAFIGURA,Trafigura Maritime Logistics Pte Ltd,10128,2.5
F055BACF33073FC6CC15232B25B46BCA,1,Broker,Odin,ODIN MARINE GROUP LLC,101591,1.25
F055BACF33073FC6CC15232B25B46BCA,1,Agent,,,,0.0
F055BACF33073FC6CC15232B25B46BCA,1,Co Broker,,,,0.0
2A935489EDD65A2397A78585B5A224E2,1,Charterer,CHEVRON,Chevron International Tankship Limited,10109,2.5
2A935489EDD65A2397A78585B5A224E2,1,Broker,AFFINITY,Affinity Tankers Ltd,50010,1.25
2A935489EDD65A2397A78585B5A224E2,1,Agent,Stena Bulk,,,1.0
2A935489EDD65A2397A78585B5A224E2,1,Co Broker,,,,0.0
69C872A93C4830560C178BBA1E55E0B5,1,Charterer,TOTAL,Chartering & Shipping Services S.A.,10017,2.5
69C872A93C4830560C178BBA1E55E0B5,1,Broker,Oil Broker,Oil Brokerage Limited,52108,1.25
69C872A93C4830560C178BBA1E55E0B5,1,Agent,Stena Bulk,,,2.0
69C872A93C4830560C178BBA1E55E0B5,1,Co Broker,,,,0.0
025EBBC212B51C5F6E2A6DB564F76ADD,1,Charterer,CHEVRON,Chevron International Tankship Limited,10109,2.5
025EBBC212B51C5F6E2A6DB564F76ADD,1,Broker,Gulfstream,Gulfstream Tanker Chartering LLC,104843,1.25
025EBBC212B51C5F6E2A6DB564F76ADD,1,Agent,,,,0.0
025EBBC212B51C5F6E2A6DB564F76ADD,1,Co Broker,,,,0.0
9CD23C74ED7F91E0FAD7AF79A1FE3914,1,Charterer,Antilles Shi,Antilles Shipping Company SEZC,10371,1.25
9CD23C74ED7F91E0FAD7AF79A1FE3914,1,Broker,Southport Ma,Southport Maritime Inc,103581,1.25
9CD23C74ED7F91E0FAD7AF79A1FE3914,1,Agent,Stena Bulk,,,2.0
9CD23C74ED7F91E0FAD7AF79A1FE3914,1,Co Broker,,,,0.0
3F9829611FAEC74FC148A97C5E7E3561,1,Charterer,Ipiranga,Ipiranga Trading Limited,10389,2.5
3F9829611FAEC74FC148A97C5E7E3561,1,Broker,AFFINITY,Affinity Tankers Ltd,50010,1.25
3F9829611FAEC74FC148A97C5E7E3561,1,Agent,Stena Bulk,,,2.0
3F9829611FAEC74FC148A97C5E7E3561,1,Co Broker,,,,0.0
358F13F970441AF33B6CDB099A158614,1,Charterer,MERCURIA,Mercuria Shipping PTE. LTD,10399,0.0
358F13F970441AF33B6CDB099A158614,1,Broker,Braemar,Braemar ACM Shipbroking Ltd,103663,1.25
358F13F970441AF33B6CDB099A158614,1,Agent,,,,0.0
358F13F970441AF33B6CDB099A158614,1,Co Broker,,,,0.0
648ECB14EDECDB958EA876F662B33282,1,Charterer,PMI,PMI Trading DAC,10193,0.0
648ECB14EDECDB958EA876F662B33282,1,Broker,True North C,True North Chartering,50082,1.25
648ECB14EDECDB958EA876F662B33282,1,Agent,Stena Bulk,,,2.0
648ECB14EDECDB958EA876F662B33282,1,Co Broker,,,,0.0
82A8B6D2BA0A6C4ADEE84AAB4986F757,1,Charterer,MERCURIA,Mercuria Energy Trading Pte Ltd,10052,1.25
82A8B6D2BA0A6C4ADEE84AAB4986F757,1,Broker,Arrow Tanker,Arrow Tankers P/S,51548,1.25
82A8B6D2BA0A6C4ADEE84AAB4986F757,1,Agent,,,,0.0
82A8B6D2BA0A6C4ADEE84AAB4986F757,1,Co Broker,,,,0.0
3970004E515530B67F9495550D9E5BF7,1,Charterer,SHELL,Shell International Trading and Shipping Company Limited,1609,1.25
3970004E515530B67F9495550D9E5BF7,1,Broker,Charles R We,"CHARLES R. WEBER COMPANY,INC",101213,1.25
3970004E515530B67F9495550D9E5BF7,1,Agent,,,,0.0
3970004E515530B67F9495550D9E5BF7,1,Co Broker,,,,0.0
BC2EF80A27F72AE9B665093EDCE70FF5,1,Charterer,PMI,PMI Trading DAC,10193,0.0
BC2EF80A27F72AE9B665093EDCE70FF5,1,Broker,BSM,BSM Shipping and Trading SA de CV,52251,1.25
BC2EF80A27F72AE9B665093EDCE70FF5,1,Agent,Stena Bulk,,,2.0
BC2EF80A27F72AE9B665093EDCE70FF5,1,Co Broker,,,,0.0
C0D2F176552C341938CE651959FE6A10,1,Charterer,PETROBRAS,Petroleo Brasileiro S.A.,10127,1.25
C0D2F176552C341938CE651959FE6A10,1,Broker,Braemar,Braemar ACM Shipbroking Ltd,103663,1.25
C0D2F176552C341938CE651959FE6A10,1,Agent,,,,0.0
C0D2F176552C341938CE651959FE6A10,1,Co Broker,,,,0.0
7F483D719DC863C8DC089899DE6A7E1F,1,Charterer,NOVA,,,2.5
7F483D719DC863C8DC089899DE6A7E1F,1,Broker,Steem 1960,,,1.25
7F483D719DC863C8DC089899DE6A7E1F,1,Agent,Stena Bulk,,,2.0
7F483D719DC863C8DC089899DE6A7E1F,1,Co Broker,,,,0.0
E32C4D4222EBA846E1AFAF8B7AC310A6,1,Charterer,ST,ST Shipping & Transport Pte Ltd,10203,2.5
E32C4D4222EBA846E1AFAF8B7AC310A6,1,Broker,Gulfstream,Gulfstream Tanker Chartering SA (Geneva),50136,1.25
E32C4D4222EBA846E1AFAF8B7AC310A6,1,Agent,,,,0.0
E32C4D4222EBA846E1AFAF8B7AC310A6,1,Co Broker,,,,0.0
01158DCAB12113D289E89F4A6878E75E,1,Charterer,E D & F,ED&F Man Liquid Products LLC,10308,3.75
01158DCAB12113D289E89F4A6878E75E,1,Broker,Nexo,,,0.0
01158DCAB12113D289E89F4A6878E75E,1,Agent,Stena Bulk,,,2.0
01158DCAB12113D289E89F4A6878E75E,1,Co Broker,,,,0.0
18B375888FF2BE72F844C4DB1326AB90,1,Charterer,PMI,PMI Trading DAC,10193,0.0
18B375888FF2BE72F844C4DB1326AB90,1,Broker,SSY,Simpson Spence Young,52297,1.25
18B375888FF2BE72F844C4DB1326AB90,1,Agent,Stena Bulk,,,2.0
18B375888FF2BE72F844C4DB1326AB90,1,Co Broker,,,,0.0
18B375888FF2BE72F844C4DB1326AB90,2,Charterer,PMI,PMI Trading DAC,10193,0.0
18B375888FF2BE72F844C4DB1326AB90,2,Broker,SSY,Simpson Spence Young,52297,1.25
18B375888FF2BE72F844C4DB1326AB90,2,Agent,Stena Bulk,,,2.0
18B375888FF2BE72F844C4DB1326AB90,2,Co Broker,,,,0.0
A66F67F06D94BEA5058FED632768864C,1,Charterer,Pentacontine,Pentacontinent DMCC,10394,1.25
A66F67F06D94BEA5058FED632768864C,1,Broker,Gulfstream,Gulfstream Tanker Chartering SA (Geneva),50136,2.5
A66F67F06D94BEA5058FED632768864C,1,Agent,,,,0.0
A66F67F06D94BEA5058FED632768864C,1,Co Broker,,,,0.0
21E91AE7D74174F2887609A00F808C27,1,Charterer,Heritage Pet,Heritage Petroleum DMCC,10441,2.5
21E91AE7D74174F2887609A00F808C27,1,Broker,Howe Robinso,Howe Robinson Partners (UK) Ltd,51508,1.25
21E91AE7D74174F2887609A00F808C27,1,Agent,,,,0.0
21E91AE7D74174F2887609A00F808C27,1,Co Broker,,,,0.0
1A54006E575C75BB6A1A5708B2EA530D,1,Charterer,ST,ST Shipping & Transport Ltd,10069,2.5
1A54006E575C75BB6A1A5708B2EA530D,1,Broker,Gulfstream,Gulfstream Tanker Chartering SA (Geneva),50136,1.25
1A54006E575C75BB6A1A5708B2EA530D,1,Agent,,,,0.0
1A54006E575C75BB6A1A5708B2EA530D,1,Co Broker,,,,0.0
21CECF09AD78B8764C22CF54569ECFCD,1,Charterer,EQUINOR,Equinor ASA,10005,2.5
21CECF09AD78B8764C22CF54569ECFCD,1,Broker,Galbraiths,Galbraith's USA Inc.,,1.25
21CECF09AD78B8764C22CF54569ECFCD,1,Agent,,,,0.0
21CECF09AD78B8764C22CF54569ECFCD,1,Co Broker,,,,0.0
557623A3C8FB83E63A9F9AA8ECA1C027,1,Charterer,Petroineos,Petroineos Trading Limited,10253,2.5
557623A3C8FB83E63A9F9AA8ECA1C027,1,Broker,BRS,BRS Group,105706,1.25
557623A3C8FB83E63A9F9AA8ECA1C027,1,Agent,,,,0.0
557623A3C8FB83E63A9F9AA8ECA1C027,1,Co Broker,,,,0.0
CF651AF344F7A0E9D68D6536EE6B307B,1,Charterer,Saudi Aramco,Aramco Trading Fujairah FZE,10378,2.5
CF651AF344F7A0E9D68D6536EE6B307B,1,Broker,BRS,,,1.25
CF651AF344F7A0E9D68D6536EE6B307B,1,Agent,Stena Bulk,,,2.0
CF651AF344F7A0E9D68D6536EE6B307B,1,Co Broker,,,,0.0
CF651AF344F7A0E9D68D6536EE6B307B,2,Charterer,SHELL,,,2.5
CF651AF344F7A0E9D68D6536EE6B307B,2,Broker,Gibson,,,1.25
CF651AF344F7A0E9D68D6536EE6B307B,2,Agent,DA-Desk,,,2.0
CF651AF344F7A0E9D68D6536EE6B307B,2,Co Broker,,,,0.0
06DA7B821CA85F3231938535E44AA635,1,Charterer,PMI,PMI Trading DAC,10193,0.0
06DA7B821CA85F3231938535E44AA635,1,Broker,True North C,True North Chartering,50082,1.25
06DA7B821CA85F3231938535E44AA635,1,Agent,Stena Bulk,,,2.0
06DA7B821CA85F3231938535E44AA635,1,Co Broker,,,,0.0
E7FB52F6DA6506089FAFDFEC65EE9E58,1,Charterer,PSTV Energy,PSTV Energy DMCC,10174,2.5
E7FB52F6DA6506089FAFDFEC65EE9E58,1,Broker,Landmark Shi,Landmark Shipping,10178,1.25
E7FB52F6DA6506089FAFDFEC65EE9E58,1,Agent,Stena Bulk,,,2.0
E7FB52F6DA6506089FAFDFEC65EE9E58,1,Co Broker,,,,0.0
FF1FF7ACC58B53368764536AD9CD2912,1,Charterer,GOLDEN AGRI,,,2.5
FF1FF7ACC58B53368764536AD9CD2912,1,Broker,,,,0.0
FF1FF7ACC58B53368764536AD9CD2912,1,Agent,Stena Bulk,,,2.0
FF1FF7ACC58B53368764536AD9CD2912,1,Co Broker,,,,0.0
740CFAB83F65204DCCF27ED2542512CF,1,Charterer,Oman Trading,OMAN TRADING INTERNATIONAL,10271,2.5
740CFAB83F65204DCCF27ED2542512CF,1,Broker,BRS,BRS Group,105706,1.25
740CFAB83F65204DCCF27ED2542512CF,1,Agent,Stena Bulk,,,2.0
740CFAB83F65204DCCF27ED2542512CF,1,Co Broker,,,,0.0
D644037813A450A37FBE18D9ADA359B9,1,Charterer,J Global E,J. Global Energy,10296,0.0
D644037813A450A37FBE18D9ADA359B9,1,Broker,Brazilship,Brazilship/Scanbrasil Comercio Maritimo Ltda,105097,1.25
D644037813A450A37FBE18D9ADA359B9,1,Agent,Stena Bulk,,,1.0
D644037813A450A37FBE18D9ADA359B9,1,Co Broker,,,,0.0
D644037813A450A37FBE18D9ADA359B9,2,Charterer,Zemax Log So,Zemax Log Solucoes Maritimas S.A.,10134,0.0
D644037813A450A37FBE18D9ADA359B9,2,Broker,Brazilship,Brazilship/Scanbrasil Comercio Maritimo Ltda,105097,1.25
D644037813A450A37FBE18D9ADA359B9,2,Agent,Stena Bulk,,,1.0
D644037813A450A37FBE18D9ADA359B9,2,Co Broker,,,,0.0
0FDB2BF260E37A8B9D6DDB0CC318DF83,1,Charterer,Saras Spa Ra,SARAS SPA Raffinerie Sarde,10294,2.5
0FDB2BF260E37A8B9D6DDB0CC318DF83,1,Broker,Clarkson,Clarksons Platou Shipbroking (Switzerland) SA,105056,1.25
0FDB2BF260E37A8B9D6DDB0CC318DF83,1,Agent,Stena Bulk,,,2.0
0FDB2BF260E37A8B9D6DDB0CC318DF83,1,Co Broker,,,,0.0
5236AE6116FD7BFF85ED6DB5761248C5,1,Charterer,UNIPEC,,,2.5
5236AE6116FD7BFF85ED6DB5761248C5,1,Broker,BRS,,,1.25
5236AE6116FD7BFF85ED6DB5761248C5,1,Agent,,,,0.0
5236AE6116FD7BFF85ED6DB5761248C5,1,Co Broker,,,,0.0
2F3F2E14C634FDD8996C6A55547D1AD2,1,Charterer,EQUINOR,Equinor ASA,10005,2.5
2F3F2E14C634FDD8996C6A55547D1AD2,1,Broker,BRS,BRS Group,105706,1.25
2F3F2E14C634FDD8996C6A55547D1AD2,1,Agent,,,,0.0
2F3F2E14C634FDD8996C6A55547D1AD2,1,Co Broker,,,,0.0
21ECFF2B28A17FAC8EA74AB59154AEB0,1,Charterer,CHEVRON,Chevron International Tankship Limited,10109,2.5
21ECFF2B28A17FAC8EA74AB59154AEB0,1,Broker,Gulfstream,Gulfstream Tanker Chartering SA (Geneva),50136,1.25
21ECFF2B28A17FAC8EA74AB59154AEB0,1,Agent,,,,0.0
21ECFF2B28A17FAC8EA74AB59154AEB0,1,Co Broker,,,,0.0
723035CD2B8D3057C3F80B1822C384C1,1,Charterer,Gulf Transpo,Gulf Transport and Trading Limited,10402,2.5
723035CD2B8D3057C3F80B1822C384C1,1,Broker,Clarkson,CLARKSONS PLATOU AS,52198,1.25
723035CD2B8D3057C3F80B1822C384C1,1,Agent,Stena Bulk,,,2.0
723035CD2B8D3057C3F80B1822C384C1,1,Co Broker,,,,0.0
C7831BB6860EF7FDD8A2C37CA7F30F48,1,Charterer,TOTAL,Atlantic Trading & Marketing Inc.,10016,2.5
C7831BB6860EF7FDD8A2C37CA7F30F48,1,Broker,Oil Broker,Oil Brokerage Limited,52108,1.25
C7831BB6860EF7FDD8A2C37CA7F30F48,1,Agent,Stena Bulk,,,2.0
